153.04,151.4,154.94,152.5,148.54,148.57,147.35,146.83,146.5,188.77,159.7,154.56,156.95,129.74,77.66,114.55,83.41,97.92,87.70999999999999,43.94,24.74,26.04,26.62,27
26.79,26.2,25.89,27.85,62.4,42.64,26.82,24.75,27.26,25.06,26.75,25.97,25.56,27.54,26.31,86.29000000000001,87.54000000000001,128.17,118.32,91.09999999999999,154.41,79.29000000000001,31.69,44.63
202.5,173.8,143.24,141.72,142.2,140.71,141.52,139.57,144.23,160.02,113.88,120.38,243.99,212.7,120.79,52.76,197.39,164.48,156.33,171.24,89.91,28.73,25.18,32.11
118.08,143.21,143.68,144.94,143.82,144.44,142.07,141.09,139.02,141.85,159.36,21.35,21.26,20.51,22.64,28.67,50.19,134.44,143.98,122.33,178.54,160.46,143.08,104.33
89.58,26.01,20,18.77,18.21,20.12,17.92,20.22,17.72,37.39,91.53,155.53,240.18,113.43,101.97,68.92,52.88,53.94,51.33,110.04,60.91,60.75,30.7,30.32
54.19,17.79,21.14,17.92,21.35,17.12,20.3,18.76,18.6,22.54,62.49,64.11,33.09,199.92,151.99,226.25,136.85,144.28,312.69,174.99,211.39,284.3,127.73,87.83
81.63,81.04000000000001,83.09,81.41,82.55,66.27,28.09,60.76,128.37,99.88,77.8,70.51000000000001,19.74,38.59,111.05,113.11,127.35,113.89,174.48,167.64,205.5,150.46,58.2,19.96
16.19,18.71,17.24,28.18,39.67,16.47,67.41,143.22,128.14,112.1,80.95,56.08,16.62,18.09,16,33.89,88.28,126.38,142.38,137.25,192.64,197.55,77.48,98.14
31.07,39.23,20.42,16.16,20.81,16.08,53.86,141.77,178.38,119.71,85.63,238.25,85.84999999999999,33.23,101.72,77.47,41.01,109.46,201.86,191.41,176.04,101.68,51.11,22.57
20.19,15.28,18.52,53.53,16.23,17.86,44.18,162.13,150.32,82.20999999999999,82.18000000000001,69.11,18.02,23.71,19.63,32.5,156.79,194.29,232.15,287.05,222.38,172.82,86.89,77.23
35.13,18.73,18.14,19.29,17.58,48.74,87.09,169.95,119.64,80.89,54.41,16.91,17.68,15.23,20.09,15.7,19.24,34.36,152.94,134.09,137.7,90.76000000000001,89.03,47.96
53.3,19,15.39,17.87,17.34,15.88,18.91,107.56,159.33,102.95,190.2,213.78,118.21,98.34999999999999,97.78,124.3,123.46,167.88,113.29,189.27,270.73,298.89,348.86,304.28
200.43,174.96,172.77,67.3,68.05,71.65000000000001,94.56999999999999,68.45999999999999,78.91,133.56,104.18,60.51,42.75,77.92,109.65,125.82,205.55,252.67,215.56,197.49,191.57,126.46,87.76000000000001,82.47
81.44,80.5,27.72,17.39,17.5,14.64,18.5,116.69,155.74,95.7,111.32,82.29000000000001,67.86,39.13,89.05,97.39,92.54000000000001,107.52,134.87,178.3,164.55,97.41,111.43,149.19
23.24,17.96,18.51,17.62,47.03,24.52,42.05,149.05,65.09,53.26,24.03,38.42,116.08,56.7,115.01,53.41,98.94,171.69,187.57,117.57,83.81,84.17,57.29,23.4
17.96,14.79,51.6,16.04,17.2,15.81,52.61,134.15,187.2,193.63,245.15,146.74,104.83,85.54000000000001,91.78,232.32,113.31,184.01,100.12,156.39,193.25,212.68,163.24,117.34
84.09999999999999,67.70999999999999,17.95,17.12,17.16,16.35,44.84,157.3,99.5,79.59,51.97,16.78,18.3,30.37,22.32,36.77,97.98,129.2,188.01,167.58,178.11,166.73,84.22,31.5
18.32,18.98,18.29,18.51,19.04,18.03,48.04,170.35,127.67,109.98,68.68000000000001,15.47,18.15,22.96,25.38,21.52,61.93,80.43000000000001,44.09,57.65,92.73,145.36,149.44,109.46
103.91,68.95999999999999,62.3,67.22,61.39,63.06,66.42,126.81,122.11,122.91,136.78,124.54,110.59,255.06,158.02,118.28,117.15,167.71,258.74,320.58,222.78,145.54,65.7,67.16
82.33,90,94.05,71.91,70.47,72.37,106.73,65.28,115.76,115.5,127.83,171.6,161.8,165.83,115.54,105.09,73.7,171.04,218.94,319.83,364.59,354.65,139.66,32.76
